Up/Down with age	ID	Description	# Significant in top100	# Annotated in SOMAscan 2.9k	Min fdr	fdr_n10	fdr_n11	fdr_n12	fdr_n13	fdr_n14	fdr_n15	fdr_n16	fdr_n17	fdr_n18	fdr_n19	fdr_n20	fdr_n21	fdr_n22	fdr_n23	fdr_n24	fdr_n25	fdr_n26	fdr_n27	fdr_n28	fdr_n29	fdr_n30	fdr_n31	fdr_n32	fdr_n33	fdr_n34	fdr_n35	fdr_n36	fdr_n37	fdr_n38	fdr_n39	fdr_n40	fdr_n41	fdr_n42	fdr_n43	fdr_n44	fdr_n45	fdr_n46	fdr_n47	fdr_n48	fdr_n49	fdr_n50	fdr_n51	fdr_n52	fdr_n53	fdr_n54	fdr_n55	fdr_n56	fdr_n57	fdr_n58	fdr_n59	fdr_n60	fdr_n61	fdr_n62	fdr_n63	fdr_n64	fdr_n65	fdr_n66	fdr_n67	fdr_n68	fdr_n69	fdr_n70	fdr_n71	fdr_n72	fdr_n73	fdr_n74	fdr_n75	fdr_n76	fdr_n77	fdr_n78	fdr_n79	fdr_n80	fdr_n81	fdr_n82	fdr_n83	fdr_n84	fdr_n85	fdr_n86	fdr_n87	fdr_n88	fdr_n89	fdr_n90	fdr_n91	fdr_n92	fdr_n93	fdr_n94	fdr_n95	fdr_n96	fdr_n97	fdr_n98	fdr_n99	fdr_n100
down	R-HSA-3560782	Diseases associated with glycosaminoglycan metabolism	2	11	0,150840043	1	1	1	1	1	0,251916944	0,175356607	0,208277998	0,208277998	0,245502576	0,255835689	0,286032374	0,318742464	0,330292153	0,275424435	0,293975634	0,30711193	0,30711193	0,326768079	0,334470214	0,334470214	0,350235594	0,350235594	0,373129225	0,373129225	0,150840043	0,150840043	0,15369249	0,15369249	0,15369249	0,167349201	0,189337232	0,196469034	0,196469034	0,196469034	0,196469034	0,211936032	0,207974671	0,166569291	0,166569291	0,180999124	0,180999124	0,19524267	0,158677259	0,17293168	0,17293168	0,185927634	0,185927634	0,195381518	0,195381518	0,197479202	0,197479202	0,20710608	0,20710608	0,20710608	0,225089411	0,26395139	0,26395139	0,278864258	0,298665121	0,319062641	0,351157653	0,351157653	0,37239519	0,382136752	0,382136752	0,382136752	0,382136752	0,387752574	0,395892013	0,378001844	0,393793296	0,413132035	0,413132035	0,411987198	0,411987198	0,411987198	0,433344335	0,433344335	0,433344335	0,433344335	0,433344335	0,441397106	0,419482282	0,419482282	0,417707277	0,429082534	0,446066104	0,471647953	0,471647953	0,462603798
up	GO:0007610	behavior	5	116	0,15088125	0,469762779	0,287111111	0,15088125	0,180945455	0,222113953	0,26424898	0,314466071	0,304333333	0,318778641	0,279466667	0,307311515	0,307311515	0,314581356	0,341352308	0,368924623	0,387038532	0,38102069	0,394602985	0,415774648	0,451074324	0,477064846	0,488252336	0,486112493	0,501747701	0,506857938	0,53201587	0,553158671	0,564677293	0,573369718	0,573369718	0,595959613	0,544249073	0,574965174	0,59563	0,563982479	0,544292556	0,55231278	0,564904491	0,583221784	0,59803337	0,616515556	0,624465431	0,647888223	0,667772824	0,680682326	0,544548109	0,569644307	0,561855472	0,571966692	0,555491646	0,561862723	0,581724931	0,57837331	0,589098733	0,608748082	0,628870983	0,639883636	0,664936102	0,673648262	0,673648262	0,685394727	0,705871058	0,711346485	0,723800418	0,731041863	0,731324286	0,727752593	0,743167139	0,743167139	0,564157798	0,564157798	0,580904564	0,596330876	0,608058144	0,629746382	0,588673258	0,588673258	0,601699396	0,606989168	0,623393156	0,641530697	0,64926523	0,658666448	0,671323268	0,686173599	0,695877624	0,71002132	0,715181012	0,728636235	0,729550633	0,746213669
up	GO:0019960	C-X3-C chemokine binding	1	1	0,151	NA	NA	NA	NA	NA	NA	NA	0,151	0,169652941	0,169878947	0,17967	0,17967	0,190736842	0,19668	0,20625	0,207664286	0,227254	0,232012857	0,24167	0,248751905	0,263800952	0,2369375	0,22059	0,195435455	0,203072727	0,203072727	0,192	0,1991	0,209666667	0,202606154	0,212824615	0,206282143	0,206282143	0,198744	0,205011333	0,175220556	0,179598333	0,185946111	0,198094444	0,209248235	0,209248235	0,217179412	0,222002941	0,234696471	0,23064	0,248943333	0,267325882	0,276270588	0,276270588	0,241908571	0,250716667	0,261937619	0,273307143	0,26904	0,2736	0,265974545	0,270556364	0,290527619	0,296528571	0,296528571	0,311046667	0,325619048	0,33306	0,3423015	0,32388	0,328292174	0,284763077	0,293196923	0,293196923	0,296804444	0,296804444	0,296804444	0,302094074	0,306345926	0,322866667	0,329111111	0,329111111	0,325931429	0,335706429	0,355000741	0,358691667	0,359226429	0,354538966	0,361417241	0,33402375	0,344780625	0,352546875	0,343393636	0,34743	0,353577273	0,360840606
up	GO:1901981	phosphatidylinositol phosphate binding	1	17	0,151529231	0,151529231	0,172211538	0,172965517	0,19	0,218124	0,246906	0,322946667	0,305256863	0,3265375	0,342629412	0,335461091	0,335461091	0,355170909	0,36447931	0,351214286	0,374157143	0,390742581	0,413804677	0,422875556	0,424918	0,439868	0,439875	0,447524348	0,462963611	0,472980822	0,472980822	0,486739726	0,496282432	0,52022	0,522200519	0,519845926	0,492320225	0,492320225	0,504024889	0,514812391	0,515326304	0,532376264	0,537745761	0,54885913	0,544504536	0,544504536	0,552009091	0,568289286	0,569539029	0,590812427	0,625821538	0,636637714	0,631626852	0,631626852	0,593215161	0,6004068	0,612151575	0,624357619	0,636349606	0,64063125	0,659235938	0,644042748	0,65813145	0,659631716	0,659631716	0,673805896	0,675158824	0,6838	0,665660282	0,649581745	0,668381457	0,685385235	0,689655	0,689655	0,678190741	0,678190741	0,678190741	0,68399319	0,691529141	0,693571687	0,672653631	0,672653631	0,684726222	0,684209514	0,696723155	0,681999482	0,681117259	0,690668788	0,695859799	0,699678806	0,709104356	0,715514851	0,710500909	0,722946202	0,727238517	0,732963412
up	GO:0051716	cellular response to stimulus	55	1300	0,151591837	0,225975701	0,2052	0,151591837	0,282121429	0,394797727	0,531269492	0,4787025	0,401478146	0,354208197	0,261064286	0,3156	0,3156	0,367123358	0,436602732	0,41676955	0,38916	0,344013966	0,324654545	0,378991304	0,382311111	0,425333333	0,382981707	0,334538092	0,403908686	0,375208375	0,426561632	0,387166909	0,364027007	0,33485	0,33485	0,385394286	0,327559504	0,385988679	0,446478713	0,351041429	0,309581217	0,288397371	0,3099848	0,3052516	0,319753846	0,375064151	0,386355389	0,443610526	0,504120251	0,467609953	0,423999335	0,486983255	0,431442857	0,487645695	0,426321883	0,399229474	0,454896537	0,42022697	0,463840043	0,508269181	0,54201	0,58208	0,623134917	0,596644674	0,596644674	0,582753622	0,573716618	0,543888485	0,535597489	0,533059812	0,541857296	0,471091519	0,430825484	0,430825484	0,370377345	0,370377345	0,355266335	0,387457059	0,403520371	0,407761609	0,35133515	0,35133515	0,399322464	0,361497295	0,364651766	0,366594236	0,336483066	0,384972378	0,354239423	0,387642857	0,404570968	0,407504762	0,370545471	0,422969602	0,387053333	0,437496463
down	GO:0005020	stem cell factor receptor activity	1	1	0,15225	NA	NA	NA	NA	NA	NA	0,178533333	0,205333333	0,234461538	0,2613	0,2278	0,24403125	0,191545455	0,164571429	0,15225	0,1661	0,17595	0,167466667	0,175555556	0,213777778	0,222	0,239733333	0,256266667	0,24871	0,28684	0,2525	0,2525	0,221353846	0,234769231	0,2555	0,1971	0,19295	0,203992941	0,209357647	0,215664118	0,223611765	0,244795625	0,217425789	0,231576111	0,25018375	0,2650375	0,2650375	0,267738182	0,273411818	0,275377941	0,251401053	0,256262564	0,2634975	0,224583333	0,23709	0,252229091	0,249544348	0,254988696	0,254988696	0,259458261	0,265981739	0,2507688	0,2568984	0,257099231	0,252	0,242548966	0,229899091	0,210522	0,223333333	0,232607273	0,24158	0,24158	0,24158	0,27108	0,275662286	0,283745	0,30328375	0,315636364	0,315636364	0,332364286	0,332364286	0,330844828	0,323096774	0,323096774	0,292307222	0,286979474	0,296137143	0,296137143	0,312218182	0,312218182	0,284562162	0,279220513	0,287753846	0,292923077	0,298133333	0,302492308
down	GO:0004869	cysteine-type endopeptidase inhibitor activity	2	15	0,15225	NA	0,383058824	0,4173	0,464335714	0,464335714	0,464335714	0,346169565	0,366807692	0,381	0,414953333	0,2278	0,24403125	0,191545455	0,164571429	0,15225	0,1661	0,17595	0,167466667	0,175555556	0,213777778	0,222	0,239733333	0,256266667	0,24871	0,28684	0,2525	0,2525	0,247066667	0,263157143	0,280007143	0,228733333	0,225865	0,238146	0,250116	0,263579	0,2760595	0,287798148	0,267139565	0,280564138	0,260013438	0,265765625	0,265765625	0,267738182	0,273411818	0,275377941	0,251401053	0,256262564	0,2634975	0,261731707	0,27216	0,28458	0,298057143	0,305153684	0,305153684	0,318888378	0,33096	0,32625	0,338730513	0,335549268	0,334046512	0,316908936	0,327077234	0,309774706	0,32245098	0,33746	0,3532896	0,3532896	0,3532896	0,39078	0,37861791	0,382010588	0,394753333	0,407018519	0,407018519	0,416662963	0,416662963	0,415963636	0,396760563	0,396760563	0,384144054	0,380766316	0,382072727	0,382072727	0,394152632	0,394152632	0,38239125	0,375849412	0,39147907	0,4036	0,399772414	0,402412941
down	GO:0060346	bone trabecula formation	2	5	0,152651429	0,228928571	0,251424	0,265461111	0,28957037	0,317933333	0,351314545	0,251971698	0,253111304	0,260727273	0,255792611	0,264363436	0,278043653	0,285451977	0,28364455	0,152651429	0,170387143	0,186042857	0,202591429	0,2147525	0,2093325	0,2241525	0,24245	0,259235	0,221112	0,236442	0,254508	0,254508	0,244668462	0,264167692	0,291738462	0,302528571	0,213367826	0,235876667	0,24813	0,282215789	0,305085	0,336185474	0,286006316	0,302657368	0,322246842	0,360475789	0,360475789	0,39736337	0,392660211	0,401762842	0,409632632	0,395448932	0,410061881	0,412859813	0,336	0,347946667	0,360818889	0,374989259	0,374989259	0,388528889	0,387947857	0,416035714	0,430364754	0,43222704	0,446810806	0,439499297	0,443217557	0,45576145	0,467515152	0,386917514	0,3966336	0,3966336	0,408745434	0,414707386	0,400295936	0,379052254	0,386824645	0,390246898	0,390246898	0,400621524	0,40235967	0,370511695	0,374288333	0,374288333	0,383834684	0,391954128	0,398765106	0,399567273	0,39432754	0,39432754	0,392165869	0,3924917	0,402520833	0,406482047	0,412401786	0,401563664
down	GO:0004866	endopeptidase inhibitor activity	7	60	0,152733333	NA	0,485073171	0,528627273	0,595416279	0,595416279	0,595416279	0,520701786	0,496890625	0,511342105	0,542942169	0,328032	0,326590323	0,307588235	0,288626087	0,29453125	0,322646939	0,3410625	0,351052	0,372694118	0,456542373	0,472847458	0,503482759	0,5418	0,545252632	0,586136667	0,584496774	0,584496774	0,498804762	0,522456818	0,529931868	0,527765934	0,500067647	0,302269787	0,317017021	0,337191698	0,357499245	0,381738033	0,3878052	0,4063054	0,25018375	0,2650375	0,2650375	0,267738182	0,273411818	0,275377941	0,251401053	0,256262564	0,2634975	0,222384615	0,23709	0,252229091	0,249544348	0,254988696	0,254988696	0,259458261	0,265981739	0,2507688	0,2568984	0,257099231	0,252	0,242548966	0,229899091	0,210522	0,223333333	0,232607273	0,24158	0,24158	0,24158	0,27108	0,275662286	0,283745	0,30328375	0,315636364	0,315636364	0,332378125	0,332378125	0,334323077	0,329031707	0,329031707	0,292307222	0,286979474	0,152733333	0,152733333	0,159	0,159	0,1605	0,177666667	0,194327273	0,204654545	0,215090909	0,224972727
down	GO:0005001	transmembrane receptor protein tyrosine phosphatase activity	2	4	0,152733333	NA	NA	NA	NA	NA	NA	NA	0,2442	0,234461538	0,2613	0,2412	0,24403125	0,191545455	0,173866667	0,178296296	0,1812	0,203271429	0,211137931	0,222892857	0,271758621	0,291888889	0,3038	0,320145455	0,315228571	0,368352941	0,370894444	0,370894444	0,3052	0,314627027	0,333975	0,309885	0,299227273	0,301517333	0,309269333	0,332102045	0,341316512	0,355514651	0,366514419	0,380899524	0,340616875	0,355399362	0,355399362	0,369165319	0,340550769	0,340211667	0,334559643	0,339202807	0,344013793	0,337467742	0,353328387	0,378731613	0,389614035	0,391038793	0,391038793	0,397641034	0,407389138	0,403332	0,412953833	0,404066667	0,391701493	0,370255342	0,369472297	0,181545	0,187916667	0,19881	0,20445	0,20445	0,20445	0,22848	0,23511	0,24332	0,249993333	0,258333333	0,258333333	0,26505	0,26505	0,233385714	0,254871429	0,254871429	0,274545714	0,255237143	0,152733333	0,152733333	0,159	0,159	0,1605	0,177666667	0,194327273	0,204654545	0,215090909	0,224972727
down	GO:0005539	glycosaminoglycan binding	9	90	0,152733333	0,575534146	0,556734694	0,598994118	0,656470588	0,656470588	0,656470588	0,5562	0,565316456	0,578255319	0,613665306	0,647896907	0,655988235	0,657481481	0,6051456	0,61993254	0,625973881	0,647813333	0,668046377	0,450209195	0,531767442	0,561311765	0,568240449	0,59644	0,607953261	0,63329313	0,443188	0,443188	0,38480303	0,414540625	0,447433846	0,450695652	0,265231579	0,2799	0,29742	0,323070789	0,341316512	0,355514651	0,217425789	0,238518421	0,25018375	0,2650375	0,2650375	0,267738182	0,273411818	0,275377941	0,251401053	0,256262564	0,2634975	0,261731707	0,27216	0,28458	0,298057143	0,318985952	0,318985952	0,336612889	0,349885455	0,2507688	0,2568984	0,257099231	0,252	0,242548966	0,229899091	0,220908649	0,239324324	0,256471579	0,273235135	0,273235135	0,273235135	0,319286842	0,275662286	0,283745	0,30328375	0,315636364	0,315636364	0,332364286	0,332364286	0,233385714	0,254871429	0,254871429	0,274545714	0,26062	0,152733333	0,152733333	0,159	0,159	0,1605	0,177666667	0,194327273	0,204654545	0,215090909	0,224972727
down	GO:0019198	transmembrane receptor protein phosphatase activity	2	4	0,152733333	NA	NA	NA	NA	NA	NA	NA	0,2442	0,234461538	0,2613	0,2412	0,24403125	0,191545455	0,173866667	0,178296296	0,1812	0,203271429	0,211137931	0,222892857	0,271758621	0,291888889	0,3038	0,320145455	0,315228571	0,368352941	0,370894444	0,370894444	0,3052	0,314627027	0,333975	0,309885	0,299227273	0,301517333	0,309269333	0,332102045	0,341316512	0,355514651	0,366514419	0,380899524	0,340616875	0,355399362	0,355399362	0,369165319	0,340550769	0,340211667	0,334559643	0,339202807	0,344013793	0,337467742	0,353328387	0,378731613	0,389614035	0,391038793	0,391038793	0,397641034	0,407389138	0,403332	0,412953833	0,404066667	0,391701493	0,370255342	0,369472297	0,181545	0,187916667	0,19881	0,20445	0,20445	0,20445	0,22848	0,23511	0,24332	0,249993333	0,258333333	0,258333333	0,26505	0,26505	0,233385714	0,254871429	0,254871429	0,274545714	0,255237143	0,152733333	0,152733333	0,159	0,159	0,1605	0,177666667	0,194327273	0,204654545	0,215090909	0,224972727
down	GO:0030414	peptidase inhibitor activity	7	63	0,152733333	NA	0,485073171	0,528627273	0,595416279	0,595416279	0,595416279	0,520701786	0,498940299	0,512822785	0,542942169	0,331525926	0,326590323	0,316166667	0,288626087	0,29453125	0,322646939	0,345474	0,359322642	0,378338182	0,456542373	0,472847458	0,503482759	0,5418	0,549468333	0,58708254	0,586394118	0,586394118	0,502638636	0,522456818	0,529931868	0,540670968	0,512034906	0,305967857	0,325738868	0,337191698	0,357499245	0,381738033	0,390801129	0,410722759	0,25018375	0,2650375	0,2650375	0,267738182	0,273411818	0,275377941	0,251401053	0,256262564	0,2634975	0,222384615	0,23709	0,252229091	0,249544348	0,254988696	0,254988696	0,259458261	0,265981739	0,2507688	0,2568984	0,257099231	0,252	0,242548966	0,229899091	0,210522	0,223333333	0,232607273	0,24158	0,24158	0,24158	0,27108	0,275662286	0,292512	0,308	0,325942857	0,325942857	0,34286	0,34286	0,334323077	0,329031707	0,329031707	0,292307222	0,286979474	0,152733333	0,152733333	0,159	0,159	0,1605	0,177666667	0,194327273	0,204654545	0,215090909	0,224972727
down	GO:0061135	endopeptidase regulator activity	7	63	0,152733333	NA	0,485073171	0,528627273	0,595416279	0,595416279	0,595416279	0,520701786	0,498940299	0,512822785	0,542942169	0,331525926	0,326590323	0,316166667	0,288626087	0,29453125	0,322646939	0,345474	0,359322642	0,378338182	0,456542373	0,472847458	0,503482759	0,5418	0,549468333	0,58708254	0,586394118	0,586394118	0,502638636	0,522456818	0,529931868	0,540670968	0,512034906	0,305967857	0,325738868	0,337191698	0,357499245	0,381738033	0,390801129	0,410722759	0,25018375	0,2650375	0,2650375	0,267738182	0,273411818	0,275377941	0,251401053	0,256262564	0,2634975	0,222384615	0,23709	0,252229091	0,249544348	0,254988696	0,254988696	0,259458261	0,265981739	0,2507688	0,2568984	0,257099231	0,252	0,242548966	0,229899091	0,210522	0,223333333	0,232607273	0,24158	0,24158	0,24158	0,27108	0,275662286	0,292512	0,308	0,325942857	0,325942857	0,34286	0,34286	0,334323077	0,329031707	0,329031707	0,292307222	0,286979474	0,152733333	0,152733333	0,159	0,159	0,1605	0,177666667	0,194327273	0,204654545	0,215090909	0,224972727
down	GO:0004857	enzyme inhibitor activity	9	105	0,152733333	0,624009091	0,383058824	0,4277	0,480317647	0,480317647	0,480317647	0,400115385	0,406	0,402682927	0,450356522	0,250133333	0,268231579	0,23968	0,213381818	0,229514286	0,247163158	0,272261538	0,281139535	0,312325581	0,391863636	0,424266667	0,45756	0,495173333	0,498666667	0,546924528	0,544678571	0,544678571	0,476315068	0,513208333	0,52341	0,517684337	0,495982796	0,305967857	0,331629677	0,349245088	0,365331333	0,381738033	0,390801129	0,414266719	0,27028	0,293509394	0,293509394	0,313746176	0,304706591	0,319833778	0,305300851	0,313929362	0,330545833	0,224583333	0,241416	0,254613333	0,262857143	0,282332857	0,282332857	0,301699643	0,326525	0,326043947	0,333940789	0,3260495	0,320142857	0,305788444	0,314543478	0,307398	0,32245098	0,232607273	0,24158	0,24158	0,24158	0,27108	0,275662286	0,283745	0,30328375	0,315636364	0,315636364	0,336866667	0,336866667	0,334323077	0,329031707	0,329031707	0,292307222	0,286979474	0,152733333	0,152733333	0,159	0,159	0,1605	0,179138462	0,197830769	0,214523077	0,2314	0,250338462
down	hsa00072	Synthesis and degradation of ketone bodies	1	2	0,153061294	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0,153061294	0,173584049	0,200172565	0,200172565	0,233581199	0,233581199	0,22037571	0,22037571	0,249537134	0,249537134	0,249537134	0,249537134	0,324239493	0,324239493	0,333431697	0,363360572	0,396598026	0,436828065	0,436828065	0,436828065	0,436828065	0,479154058	0,324873278	0,311885797	0,311885797	0,380218177	0,380218177	0,416857242	0,403889041	0,403889041	0,403889041	0,382342162	0,382342162	0,355454273	0,371159182	0,371159182	0,371159182	0,371159182	0,371159182	0,371159182	0,382624402	0,394081531	0,422750164	0,45903732	0,45903732	0,490648037	0,524923765	0,524923765	0,570413327	0,550347049	0,550347049	0,550347049	0,550347049	0,537431198	0,555538594	0,43838081	0,479938441	0,501237952	0,501237952	0,501237952	0,501237952	0,512197044	0,550085121	0,550085121	0,550085121	0,592484339	0,592484339	0,537767012	0,524572397	0,524572397	0,524572397	0,512383808	0,522247112	0,536326403	0,515906333	0,529411485
down	hsa00650	Butanoate metabolism	1	2	0,153061294	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0,153061294	0,173584049	0,200172565	0,200172565	0,233581199	0,233581199	0,22037571	0,22037571	0,249537134	0,249537134	0,249537134	0,249537134	0,324239493	0,324239493	0,333431697	0,363360572	0,396598026	0,436828065	0,436828065	0,436828065	0,436828065	0,479154058	0,324873278	0,311885797	0,311885797	0,380218177	0,380218177	0,416857242	0,403889041	0,403889041	0,403889041	0,382342162	0,382342162	0,355454273	0,371159182	0,371159182	0,371159182	0,371159182	0,371159182	0,371159182	0,382624402	0,394081531	0,422750164	0,45903732	0,45903732	0,490648037	0,524923765	0,524923765	0,570413327	0,550347049	0,550347049	0,550347049	0,550347049	0,537431198	0,555538594	0,43838081	0,479938441	0,501237952	0,501237952	0,501237952	0,501237952	0,512197044	0,550085121	0,550085121	0,550085121	0,592484339	0,592484339	0,537767012	0,524572397	0,524572397	0,524572397	0,512383808	0,522247112	0,536326403	0,515906333	0,529411485
up	GO:0009950	dorsal/ventral axis specification	1	4	0,153355102	0,153355102	0,17024	0,174445455	0,208552941	0,238452	0,26424898	0,303405455	0,282421333	0,284487356	0,250567273	0,264878571	0,264878571	0,271551282	0,28564958	0,308358621	0,324061017	0,311912214	0,324654545	0,352	0,36992	0,382063492	0,365811594	0,356777067	0,385797075	0,375208375	0,397359231	0,387166909	0,405612883	0,413475	0,413475	0,427854671	0,400912755	0,425255497	0,43148	0,375393551	0,336006503	0,328894172	0,337508143	0,350291954	0,361311897	0,37522408	0,375225209	0,387971429	0,405728	0,405675599	0,41015207	0,420625962	0,406832432	0,41645	0,398426935	0,399229474	0,414943636	0,417945918	0,428362423	0,437591503	0,447683906	0,458492984	0,475414759	0,489720892	0,489720892	0,502739756	0,51578	0,51091744	0,52509793	0,533059812	0,523026718	0,471091519	0,477910295	0,477910295	0,42843386	0,42843386	0,429239073	0,435215444	0,449083143	0,459586312	0,432923114	0,432923114	0,440507691	0,447768377	0,450014706	0,456586117	0,464411	0,472199743	0,47468934	0,480777592	0,487546181	0,499610738	0,48873955	0,499349272	0,5086125	0,519648953
up	GO:0034314	Arp2/3 complex-mediated actin nucleation	1	4	0,153355102	0,153355102	0,17024	0,174445455	0,208552941	0,238452	0,26424898	0,303405455	0,282421333	0,284487356	0,250567273	0,264878571	0,264878571	0,271551282	0,28564958	0,308358621	0,324061017	0,311912214	0,324654545	0,352	0,36992	0,382063492	0,365811594	0,356777067	0,385797075	0,375208375	0,397359231	0,387166909	0,405612883	0,413475	0,413475	0,427854671	0,400912755	0,425255497	0,43148	0,375393551	0,336006503	0,328894172	0,337508143	0,350291954	0,361311897	0,37522408	0,375225209	0,387971429	0,405728	0,405675599	0,41015207	0,420625962	0,406832432	0,41645	0,398426935	0,399229474	0,414943636	0,417945918	0,428362423	0,437591503	0,447683906	0,458492984	0,475414759	0,489720892	0,489720892	0,502739756	0,51578	0,51091744	0,52509793	0,533059812	0,523026718	0,471091519	0,477910295	0,477910295	0,42843386	0,42843386	0,429239073	0,435215444	0,449083143	0,459586312	0,432923114	0,432923114	0,440507691	0,447768377	0,450014706	0,456586117	0,464411	0,472199743	0,47468934	0,480777592	0,487546181	0,499610738	0,48873955	0,499349272	0,5086125	0,519648953
up	GO:0044062	regulation of excretion	1	4	0,153355102	0,153355102	0,17024	0,174445455	0,208552941	0,238452	0,26424898	0,303405455	0,282421333	0,284487356	0,250567273	0,264878571	0,264878571	0,271551282	0,28564958	0,308358621	0,324061017	0,311912214	0,324654545	0,352	0,36992	0,382063492	0,365811594	0,356777067	0,385797075	0,375208375	0,397359231	0,387166909	0,405612883	0,413475	0,413475	0,427854671	0,400912755	0,425255497	0,43148	0,375393551	0,336006503	0,328894172	0,337508143	0,350291954	0,361311897	0,37522408	0,375225209	0,387971429	0,405728	0,405675599	0,41015207	0,420625962	0,406832432	0,41645	0,398426935	0,399229474	0,414943636	0,417945918	0,428362423	0,437591503	0,447683906	0,458492984	0,475414759	0,489720892	0,489720892	0,502739756	0,51578	0,51091744	0,52509793	0,533059812	0,523026718	0,471091519	0,477910295	0,477910295	0,42843386	0,42843386	0,429239073	0,435215444	0,449083143	0,459586312	0,432923114	0,432923114	0,440507691	0,447768377	0,450014706	0,456586117	0,464411	0,472199743	0,47468934	0,480777592	0,487546181	0,499610738	0,48873955	0,499349272	0,5086125	0,519648953
up	GO:0045837	negative regulation of membrane potential	1	4	0,153355102	0,153355102	0,17024	0,174445455	0,208552941	0,238452	0,26424898	0,303405455	0,282421333	0,284487356	0,250567273	0,264878571	0,264878571	0,271551282	0,28564958	0,308358621	0,324061017	0,311912214	0,324654545	0,352	0,36992	0,382063492	0,365811594	0,356777067	0,385797075	0,375208375	0,397359231	0,387166909	0,405612883	0,413475	0,413475	0,427854671	0,400912755	0,425255497	0,43148	0,375393551	0,336006503	0,328894172	0,337508143	0,350291954	0,361311897	0,37522408	0,375225209	0,387971429	0,405728	0,405675599	0,41015207	0,420625962	0,406832432	0,41645	0,398426935	0,399229474	0,414943636	0,417945918	0,428362423	0,437591503	0,447683906	0,458492984	0,475414759	0,489720892	0,489720892	0,502739756	0,51578	0,51091744	0,52509793	0,533059812	0,523026718	0,471091519	0,477910295	0,477910295	0,42843386	0,42843386	0,429239073	0,435215444	0,449083143	0,459586312	0,432923114	0,432923114	0,440507691	0,447768377	0,450014706	0,456586117	0,464411	0,472199743	0,47468934	0,480777592	0,487546181	0,499610738	0,48873955	0,499349272	0,5086125	0,519648953
up	GO:0051125	regulation of actin nucleation	1	4	0,153355102	0,153355102	0,17024	0,174445455	0,208552941	0,238452	0,26424898	0,303405455	0,282421333	0,284487356	0,250567273	0,264878571	0,264878571	0,271551282	0,28564958	0,308358621	0,324061017	0,311912214	0,324654545	0,352	0,36992	0,382063492	0,365811594	0,356777067	0,385797075	0,375208375	0,397359231	0,387166909	0,405612883	0,413475	0,413475	0,427854671	0,400912755	0,425255497	0,43148	0,375393551	0,336006503	0,328894172	0,337508143	0,350291954	0,361311897	0,37522408	0,375225209	0,387971429	0,405728	0,405675599	0,41015207	0,420625962	0,406832432	0,41645	0,398426935	0,399229474	0,414943636	0,417945918	0,428362423	0,437591503	0,447683906	0,458492984	0,475414759	0,489720892	0,489720892	0,502739756	0,51578	0,51091744	0,52509793	0,533059812	0,523026718	0,471091519	0,477910295	0,477910295	0,42843386	0,42843386	0,429239073	0,435215444	0,449083143	0,459586312	0,432923114	0,432923114	0,440507691	0,447768377	0,450014706	0,456586117	0,464411	0,472199743	0,47468934	0,480777592	0,487546181	0,499610738	0,48873955	0,499349272	0,5086125	0,519648953
up	GO:0071374	cellular response to parathyroid hormone stimulus	1	4	0,153355102	0,153355102	0,17024	0,174445455	0,208552941	0,238452	0,26424898	0,303405455	0,282421333	0,284487356	0,250567273	0,264878571	0,264878571	0,271551282	0,28564958	0,308358621	0,324061017	0,311912214	0,324654545	0,352	0,36992	0,382063492	0,365811594	0,356777067	0,385797075	0,375208375	0,397359231	0,387166909	0,405612883	0,413475	0,413475	0,427854671	0,400912755	0,425255497	0,43148	0,375393551	0,336006503	0,328894172	0,337508143	0,350291954	0,361311897	0,37522408	0,375225209	0,387971429	0,405728	0,405675599	0,41015207	0,420625962	0,406832432	0,41645	0,398426935	0,399229474	0,414943636	0,417945918	0,428362423	0,437591503	0,447683906	0,458492984	0,475414759	0,489720892	0,489720892	0,502739756	0,51578	0,51091744	0,52509793	0,533059812	0,523026718	0,471091519	0,477910295	0,477910295	0,42843386	0,42843386	0,429239073	0,435215444	0,449083143	0,459586312	0,432923114	0,432923114	0,440507691	0,447768377	0,450014706	0,456586117	0,464411	0,472199743	0,47468934	0,480777592	0,487546181	0,499610738	0,48873955	0,499349272	0,5086125	0,519648953
